Variant ID,Handle,Variant,Price,SKU,Scraped at,Availability
41081319489730,bath-mat,Almond,720.0,lil-Liv-B1-1-1,2026/02/02 01:30:47 PM,False
41081319522498,bath-mat,Brown,720.0,lil-Liv-B1-1-2,2026/02/02 01:30:47 PM,False
41081319555266,bath-mat,Genzari,720.0,lil-Liv-B1-1-3,2026/02/02 01:30:47 PM,False
41081319588034,bath-mat,Gray,720.0,lil-Liv-B1-1-4,2026/02/02 01:30:47 PM,False
41147521466562,half-face,Black,620.0,lil-NMG-1-2-1-1-2-1-1-1-1-1-1,2026/02/02 01:32:37 PM,False
41147521499330,half-face,White,620.0,lil-NMG-1-2-1-1-2-1-1-1-1-1-2,2026/02/02 01:32:37 PM,False
