,Brand,Variant ID,Variant,Price,Availability,SKU,Brand + Variant ID
1483,Nillens,49862476759319,off-white-hooded-sweatshirt-1,720.0,False,250006522.0,Nillens #49862476759319
1484,Nillens,45492868612375,aqua-paisley-cotton-napkin-set-of-2,200.0,True,250004093.0,Nillens #45492868612375
1485,Nillens,44053822570775,pistachio-napkins-set-of-3,200.0,False,250003326.0,Nillens #44053822570775
1486,Nillens,51421707239703,blue-napkins-set-of-2,200.0,True,250007862.0,Nillens #51421707239703
1487,Nillens,45072486236439,green-jungle-linen-placemats-set-of-2,450.0,True,250003949.0,Nillens #45072486236439
1488,Nillens,49406522261783,orange-checks-short-sleeve-shirt,455.0,True,250005400.0,Nillens #49406522261783
1489,Nillens,49406522294551,orange-checks-short-sleeve-shirt,455.0,True,250005401.0,Nillens #49406522294551
1490,Nillens,49406522327319,orange-checks-short-sleeve-shirt,455.0,True,250005402.0,Nillens #49406522327319
1491,Nillens,49395098779927,yellow-flowers-beach-short,450.0,True,250005532.0,Nillens #49395098779927
1492,Nillens,49395098812695,yellow-flowers-beach-short,450.0,True,250005533.0,Nillens #49395098812695
1493,Nillens,49302667559191,denim-calligraphy-linen-placemats-set-of-2,450.0,False,250005163.0,Nillens #49302667559191
1494,Nillens,51436882493719,teal-napkins-set-of-2,200.0,True,250007863.0,Nillens #51436882493719
1495,Nillens,44926116167959,yellow-geometric-placemats-set-of-2,450.0,True,250003815.0,Nillens #44926116167959
1496,Nillens,49395082199319,navy-beach-short,450.0,True,250005661.0,Nillens #49395082199319
1497,Nillens,49395082232087,navy-beach-short,450.0,False,250005662.0,Nillens #49395082232087
1498,Nillens,45492861960471,yellow-paisley-cotton-napkin-set-of-2,200.0,False,250004092.0,Nillens #45492861960471
1499,Nillens,49406517018903,green-checks-short-sleeve-shirt,455.0,True,250005397.0,Nillens #49406517018903
1500,Nillens,49406517051671,green-checks-short-sleeve-shirt,455.0,True,250005398.0,Nillens #49406517051671
